objectid,parentid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_001,,demo_001.jpg,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities; buildings; campuses; picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_002,,demo_002.pdf,,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,"Postcard is of the Spokane County Courthouse in Spokane, Washington. Postmark 9/8/1912, Spokane, WA. Destination San Francisco, CA.",public buildings; county courthouses; trees; picture postcards,"Spokane, Washington",47.66432,-117.428031,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_032,Image;StillImage,application/pdf,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/
demo_003,,demo_003.mp3,,Good News - Power,Frank B. Robinson,1947,Psychiana radio program episode begins with assurance that there is a Power that can get people what they desire. Robinson then discusses his early life failures and childhood seeking of some force that could turn his failures into success. He asserts the God-Power can turn our failures into success and bring us material and spiritual abundance.,Frank B. Robinson; Failure; Success; Material Abundance,,,,"Psychiana Digital Collection, Digital Initiatives, University of Idaho Library",Good_News_08,Audio,audio/mpeg,eng,,https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_004,,,CVXQ3X6Q8oU,"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,1925-10-30,"Idaho Football vs. University of Southern California 10/30/1925 at Neale Stadium in Moscow, ID. Score: 7 - 51 (L).",American Football,"Moscow, Idaho",46.726113,-117.015671,"Vandal Video Collection, Digital Initiatives, University of Idaho Library","MG 23, Item 29",Image;MovingImage,video/mp4,eng,"CC - Attribution 4.0 International. Digital reproduction rights assigned to the University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/
demo_005,,https://digital.lib.uidaho.edu/digital/iiif/expforsav/390/full/pct:50/0/default.jpg,,Ford pumper used for slash burning control,,1932-09-01,Ford pumper used for slash burning control. September 1932. From the photo series depicting the broadcast burn at the mouth of Benton Creek.,,Bonner County;Priest River Experimental Forest;Benton Creek,48.34472222,-116.8483333,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",FirePump1,Image;StillImage,image/jpeg,eng,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/
demo_006,,,,Joe Williams Blindfold Test with Leonard Feather,"Feather, Leonard",1961-02,"Leonard Feather interviews Joe Williams, asking him to identify several jazz tracks",,,,,,,record,multiple,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_007,demo_006,https://digital.lib.uidaho.edu/digital/iiif/lfc/485/full/pct:70/0/default.jpg,,Joe Williams and Count Basie,,1960,"Joe Williams speaking to Count Basie, who is smiling at the camera.",,,,,Leonard Feather Jazz Collection,,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_008,demo_006,https://www.lib.uidaho.edu/digital/objects/blindfold/williams.mp3,,Joe Williams Blindfold Test,"Feather, Leonard ",1961-02,,,,,,Leonard Feather Blindfold Tests,blindfold021,Audio,audio/mpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_009,,,,Study tour to Europe poster drafts,"Ames, Leo",,,,,,,,,record,compound_object,,,
demo_010,demo_009,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-003_001.jpg,,Study tour to Europe poster drafts,"Ames, Leo",1975,"Three sketches of various stages of a poster for a study abroad program to Europe. First sketch is a graphite drawing of the Colosseum in Rome with a few handwritten mathematical notes. Second sketch is another sketch of the Colosseum building with a markered-in background and more defined graphite shading. Third sketch is the Colosseum illustration with text, margins and notes are written in blue.",universities (institutions); preliminary sketches (sketches),,,,"UG 73, Leo Ames Papers ",ug73_b08_f02-003,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the University of Idaho Library. For other uses beyond free use, please contact the University of Idaho Library Special Collections and Archives Department.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
demo_011,demo_009,https://www.lib.uidaho.edu/digital/objects/ames/ug73_b08_f02-003_002.jpg,,,,,,,,,,,,Image;StillImage,image/jpeg,,,
