objectid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
pnla001,PG8_B229-28.jpg,1940 Mullan 49'er Parade - children's parade [28],"Barnard Studio (Wallace, Idaho)",1940-08-03,"Two children in costume during the 49'er Parade in Mullan, Idaho.",parades; mining; costumes; celebrations,"Mullan, Idaho",47.470266,-115.79712,"PG 8, Barnard-Stockbridge Collection",B229-28,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla002,RW_Challis2300_002.jpg,CCC Men Fishing,P.S. Bieler,1939-07-01,"Three CCC men standing on the bank of a creek. Each man is holding a thick stick over his shoulder with a large fish on the end. Description reads: ""Salmon fishers on Marsh Creek near Lolo Creek camp. Forest: Challis State: Idaho Date: July 1989 Author: Paul S. Bieler.""",group portraits; fishing; fishing areas; creeks (bodies of water),Salmon-Challis National Forest,,,Idaho Civilian Conservation Corps,RW_Challis2300_002,Image;StillImage,image/jpg,eng,Public domain,
pnla003,Fugue2006_N31.pdf,Fugue -Summer - Fall 2006 (No. 31),"University of Idaho Department of English, ISSN 1054-6014",2006-06-01,"The 31st issue of Fugue Literary Journal, featuring writing by Philip Levine, Chris Abani, Aimee Parkison, Sarah Blackman, and others.",poetry,"Moscow, Idaho",46.725562,-117.009633,Fugue Literary Journal Collection,Fugue2006_N31,Text,image/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla004,nwpostcards_335.jpg,"Ketchum, Idaho, winter evening",Coy Poe,1980,"Postcard of Ketchum, Idaho at night. | Ketchum, Idaho, winter evening. Dollar Mountain ski area at left.",mountains; snow; buildings; houses; trees; photographic; postcards,"Ketchum, Idaho",43.685408,-114.363735,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_01_23a,Image;StillImage,image/jpg,eng,"Digital Image Copyright 2013, University of Idaho Library",
pnla005,nwpostcards_406.jpg,"Sun Valley, Idaho from nearby Penny Mountain",Lou Holliday,1977,Postcard of the Sun Valley Resort from nearby Penny Mountain with horses and riders in the foreground. | Sun Valley from nearby Penny Mtn.,horses; men; women; ski resorts; mountains; trees; buildings; automobiles; photographic postcards,"Sun Valley, Idaho",27.241598,-81.56755,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_07_02h,Image;StillImage,image/jpg,eng,"Digital Image Copyright 2013, University of Idaho Library",
pnla006,ijc_brown_0.jpg,"Ray Brown, Jeff Hamilton, and Benny Green at Bermuda Onion Club",Barry Thomson,1992-09-01,"Ray Brown, Jeff Hamilton, and Benny Green at Bermuda Onion Club, Toronto, September 1992.  11 x 14 inch black and white photograph by Barry Thomson (Toronto, Ontario).","Brown, Ray; jazz; musicians; instruments","Toronto, Ontario",,,Ray Brown Collection - IJC,IJC_MG20_001,Image;StillImage,image/jpg,eng,"Digital image copyright 2013, The University of Idaho. All rights reserved.",
pnla007,football_14.jpg,"Football Program. Idaho - Arizona State, 09/28/1957, Goodwin Stadium, Phoenix (Arizona)",,,"Official souvenir program of the Idaho - Arizona State football game, Saturday, September 28, 1957, Phoenix (Arizona) Goodwin Stadium. Cover depicts a picture of a Sun Devil football player sitting on a Vandal player, yelling ""mashed Idahoes comin' up!"" to a man at a dinner table.",Arizona; Idaho; football; sports; cartoons,"Phoenix, Arizona",,,University of Idaho Football Program Covers Collection,AS.id.9.28.57,Image;StillImage,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vo
pnla008,sbw_265.jpg,Rainbow over North Star,Ray Kimball,2012-06-26,Rainbow over North Star,,,,,The Selway-Bitterroot Wilderness History Project,RainbowoverNorthStar,Image;StillImage,image/jpg,eng,Ray Kimball,
pnla009,p17254coll3_155.jpg,Cheerleaders and Joe Vandal,,1985,Cheerleaders reacting to a student dressed as Joe Vandal,costumes; mascots; cheerleaders,,,,"PG52, The Argonaut Photograph Collection",PG52-015,Image;StillImage,image/jpg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",http://rightsstatements.org/vocab/InC-EDU/1.0/
pnla010,pg1_440.jpg,"Library, University of Idaho. Stack area. [122-46]",,1957,1957 photograph of the Library. A student studies at a table in background.,libraries; bookshelves; students; tables; stacks (shelves),"Moscow, Idaho",46.727485,-117.013729,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_122-46,Image;StillImage,image/jpg,eng,"Digital Image Copyright 2013, University of Idaho Library",
